visit_id,customer_id,service_taken,visit_date
VS00178,C07094,Threading,2025-04-18
VS00179,C00460,Shaving,2025-06-24
VS00180,C09335,Basic Grooming,2025-11-08
VS00181,C08295,Hair Trimming,2025-10-26
VS00182,C02322,Kids Haircut,2025-04-03
VS00183,C08177,Basic Grooming,2025-07-08
VS00184,C04838,Makeup,2025-06-21
VS00185,C09731,Hair Trimming,2025-07-15
VS00186,C04130,Makeup,2025-10-04
VS00187,C06084,Basic Grooming,2025-04-12
VS00188,C07614,Shaving,2025-01-12
VS00189,C06012,Basic Grooming,2025-01-19
VS00190,C01026,Kids Haircut,2025-12-11
VS00191,C07794,Basic Grooming,2025-05-12
VS00192,C09798,Beard Grooming,2025-04-18
VS00193,C03589,Hair Trimming,2025-05-23
VS00194,C09844,Hair Styling,2025-11-03
VS00195,C07341,Haircut,2025-03-26
VS00196,C04014,Hair Styling,2025-12-02
VS00197,C01150,Basic Grooming,2025-03-25
VS00198,C08963,Hair Trimming,2025-08-03
VS00199,C08061,Hair Trimming,2025-09-25
VS00200,C01438,Beard Grooming,2025-01-24
VS00201,C07070,Makeup,2025-05-15
VS00202,C05186,Shaving,2025-07-18
VS00203,C08226,Basic Grooming,2025-03-24
VS00204,C02086,Beard Grooming,2025-04-09
VS00205,C02276,Basic Grooming,2025-08-21
VS00206,C05596,Hair Trimming,2025-01-06
VS00207,C00241,Hair Trimming,2025-08-04
VS00208,C08671,Beard Grooming,2025-09-14
VS00209,C02376,Hair Trimming,2025-05-24
VS00210,C06980,Kids Haircut,2025-11-16
VS00211,C08171,Shaving,2025-05-15
VS00212,C03364,Basic Grooming,2025-03-19
VS00213,C00064,Beard Grooming,2025-05-06
VS00214,C07327,Beard Grooming,2025-07-31
VS00215,C06602,Kids Haircut,2025-12-22
VS00216,C07777,Hair Trimming,2025-08-04
VS00217,C05802,Hair Straightening,2025-08-16
VS00218,C07076,Hair Trimming,2025-01-07
VS00219,C07062,Kids Haircut,2025-10-26
VS00220,C09266,Hair Trimming,2025-03-07
VS00221,C00905,Shaving,2025-03-05
VS00222,C07578,Haircut,2025-06-26
VS00223,C02038,Beard Grooming,2025-04-17
VS00224,C07964,Beard Grooming,2025-04-15
VS00225,C05151,Beard Grooming,2025-04-27
VS00226,C00417,Hair Styling,2025-09-12
VS00227,C09004,Makeup,2025-06-28
VS00228,C09131,Haircut,2025-07-17
VS00229,C09288,Basic Grooming,2025-06-28
VS00230,C09504,Hair Straightening,2025-12-16
VS00231,C08994,Beard Grooming,2025-05-09
VS00232,C05984,Kids Haircut,2025-08-25
VS00233,C07796,Hair Trimming,2025-04-01
VS00234,C05526,Kids Haircut,2025-06-14
VS00235,C01437,Threading,2025-12-14
VS00236,C01597,Hair Straightening,2025-08-01
VS00237,C03429,Beard Grooming,2025-03-19
VS00238,C09140,Basic Grooming,2025-01-02
VS00239,C03452,Makeup,2025-06-24
VS00240,C09105,Hair Straightening,2025-04-15
VS00241,C09838,Makeup,2025-05-30
VS00242,C02472,Kids Haircut,2025-01-22
VS00243,C07122,Basic Grooming,2025-06-19
VS00244,C03573,Hair Straightening,2025-04-07
VS00245,C08933,Basic Grooming,2025-09-19
VS00246,C09401,Threading,2025-12-01
VS00247,C05553,Haircut,2025-10-24
VS00248,C00463,Beard Grooming,2025-02-16
VS00249,C03267,Kids Haircut,2025-04-30
VS00250,C00607,Kids Haircut,2025-01-15
VS00251,C09552,Hair Straightening,2025-05-07
VS00252,C07814,Threading,2025-11-08
VS00253,C06270,Hair Trimming,2025-05-19
VS00254,C03682,Hair Straightening,2025-02-05
VS00255,C06865,Kids Haircut,2025-08-19
VS00256,C03802,Shaving,2025-06-26
VS00257,C02302,Kids Haircut,2025-12-26
VS00258,C08458,Basic Grooming,2025-08-21
VS00259,C09852,Beard Grooming,2025-09-13
VS00260,C01831,Hair Trimming,2025-02-11
VS00261,C05838,Haircut,2025-05-16
VS00262,C09785,Beard Grooming,2025-11-26
VS00263,C05314,Threading,2025-12-30
VS00264,C06086,Basic Grooming,2025-09-12
VS00265,C01968,Basic Grooming,2025-12-08
VS00266,C09532,Makeup,2025-10-05
VS00267,C07081,Kids Haircut,2025-12-26
VS00268,C01575,Hair Straightening,2025-11-14
VS00269,C01342,Hair Straightening,2025-07-22
VS00270,C01889,Haircut,2025-05-13
VS00271,C07114,Threading,2025-11-17
VS00272,C05936,Basic Grooming,2025-03-30
VS00273,C00363,Hair Styling,2025-06-11
VS00274,C00333,Hair Trimming,2025-11-19
VS00275,C07960,Haircut,2025-02-05
VS00276,C02415,Haircut,2025-06-22
VS00277,C03647,Basic Grooming,2025-09-05
VS00278,C07974,Hair Trimming,2025-12-21
VS00279,C08699,Haircut,2025-09-29
VS00280,C01614,Hair Trimming,2025-02-23
VS00281,C02940,Makeup,2025-09-23
VS00282,C08695,Beard Grooming,2025-06-16
VS00283,C06192,Basic Grooming,2025-12-02
VS00284,C02908,Makeup,2025-08-30
VS00285,C04291,Beard Grooming,2025-07-29
VS00286,C02479,Hair Straightening,2025-02-27
VS00287,C03991,Kids Haircut,2025-02-20
VS00288,C04672,Hair Styling,2025-08-19
VS00289,C00073,Basic Grooming,2025-10-02
VS00290,C05089,Hair Straightening,2025-07-11
VS00291,C07132,Shaving,2025-09-12
VS00292,C08941,Shaving,2025-06-16
VS00293,C00170,Threading,2025-03-03
VS00294,C05797,Shaving,2025-04-21
VS00295,C01988,Hair Trimming,2025-01-28
VS00296,C09839,Kids Haircut,2025-07-02
VS00297,C03380,Shaving,2025-09-11
VS00298,C01431,Kids Haircut,2025-11-30
VS00299,C07439,Kids Haircut,2025-09-08
VS00300,C08981,Beard Grooming,2025-10-20
VS00301,C01097,Beard Grooming,2025-05-25
VS00302,C05059,Hair Styling,2025-02-07
VS00303,C05682,Hair Trimming,2025-01-17
VS00304,C00534,Haircut,2025-10-23
VS00305,C08007,Threading,2025-06-09
VS00306,C02313,Shaving,2025-11-21
VS00307,C01788,Threading,2025-05-11
VS00308,C05628,Basic Grooming,2025-02-27
VS00309,C02885,Threading,2025-03-06
VS00310,C02775,Basic Grooming,2025-11-03
VS00311,C05353,Kids Haircut,2025-03-30
VS00312,C09450,Kids Haircut,2025-03-30
VS00313,C07927,Kids Haircut,2025-09-28
VS00314,C06055,Hair Styling,2025-10-01
VS00315,C01143,Kids Haircut,2025-05-19
VS00316,C07769,Basic Grooming,2025-12-24
VS00317,C00021,Beard Grooming,2025-02-20
VS00318,C00614,Basic Grooming,2025-02-18
VS00319,C09710,Hair Straightening,2025-11-25
VS00320,C08076,Hair Trimming,2025-03-08
VS00321,C05927,Hair Trimming,2025-10-30
VS00322,C08386,Kids Haircut,2025-10-06
VS00323,C07969,Kids Haircut,2025-09-15
VS00324,C04535,Basic Grooming,2025-11-22
VS00325,C04623,Hair Straightening,2025-10-28
VS00326,C07944,Shaving,2025-10-05
VS00327,C04058,Basic Grooming,2025-07-05
VS00328,C05220,Kids Haircut,2025-11-07
VS00329,C09975,Hair Straightening,2025-02-28
VS00330,C08952,Hair Styling,2025-04-06
VS00331,C08837,Makeup,2025-01-16
VS00332,C08556,Hair Trimming,2025-01-06
VS00333,C09508,Kids Haircut,2025-01-29
VS00334,C05430,Haircut,2025-11-28
VS00335,C04269,Kids Haircut,2025-06-21
VS00336,C00793,Hair Styling,2025-10-16
VS00337,C01917,Hair Trimming,2025-03-31
VS00338,C01198,Beard Grooming,2025-05-07
VS00339,C06657,Beard Grooming,2025-11-13
VS00340,C09672,Hair Trimming,2025-01-22
VS00341,C01259,Haircut,2025-06-28
VS00342,C03068,Basic Grooming,2025-06-03
VS00343,C06250,Kids Haircut,2025-01-28
VS00344,C07731,Kids Haircut,2025-11-08
VS00345,C03079,Hair Trimming,2025-06-29
VS00346,C08335,Hair Straightening,2025-02-19
VS00347,C08355,Shaving,2025-09-05
VS00348,C05513,Makeup,2025-08-01
VS00349,C06774,Beard Grooming,2025-05-26
VS00350,C05841,Kids Haircut,2025-03-28
VS00351,C08587,Haircut,2025-12-20
VS00352,C00711,Shaving,2025-03-12
VS00353,C08707,Hair Straightening,2025-04-03
VS00354,C05782,Hair Straightening,2025-07-06
VS00355,C06287,Hair Straightening,2025-10-21
VS00356,C04131,Hair Trimming,2025-01-31
VS00357,C03155,Makeup,2025-11-20
VS00358,C06268,Threading,2025-05-05
VS00359,C09684,Kids Haircut,2025-05-02
VS00360,C02155,Threading,2025-02-26
VS00361,C05581,Threading,2025-07-09
VS00362,C00570,Hair Trimming,2025-08-05
VS00363,C09978,Kids Haircut,2025-04-25
VS00364,C03848,Hair Trimming,2025-11-20
VS00365,C00481,Basic Grooming,2025-05-31
VS00366,C06771,Hair Styling,2025-08-26
VS00367,C04495,Beard Grooming,2025-07-22
VS00368,C01610,Kids Haircut,2025-09-18
VS00369,C00012,Hair Straightening,2025-11-07
VS00370,C00561,Basic Grooming,2025-05-20
VS00371,C06317,Shaving,2025-09-01
VS00372,C01370,Hair Straightening,2025-04-03
VS00373,C04319,Threading,2025-07-06
VS00374,C08977,Haircut,2025-06-29
VS00375,C03246,Kids Haircut,2025-05-22
VS00376,C05637,Threading,2025-11-25
VS00377,C01740,Basic Grooming,2025-06-04
VS00378,C08690,Hair Trimming,2025-04-21
VS00379,C06554,Kids Haircut,2025-01-16
VS00380,C07048,Hair Straightening,2025-09-12
VS00381,C00619,Kids Haircut,2025-12-08
VS00382,C04449,Beard Grooming,2025-07-31
VS00383,C09394,Shaving,2025-10-26
VS00384,C06481,Shaving,2025-07-05
VS00385,C00109,Beard Grooming,2025-10-18
VS00386,C00668,Makeup,2025-02-02
VS00387,C08392,Kids Haircut,2025-10-01
VS00388,C09820,Basic Grooming,2025-08-12
VS00389,C08036,Hair Trimming,2025-06-29
VS00390,C05525,Basic Grooming,2025-11-21
VS00391,C04387,Hair Straightening,2025-03-13
VS00392,C04402,Kids Haircut,2025-05-18
VS00393,C07868,Basic Grooming,2025-06-07
VS00394,C06657,Beard Grooming,2025-05-13
VS00395,C01391,Shaving,2025-10-19
VS00396,C05213,Basic Grooming,2025-12-24
VS00397,C06081,Beard Grooming,2025-05-22
VS00398,C05572,Hair Styling,2025-01-04
VS00399,C09759,Shaving,2025-08-07
VS00400,C08417,Kids Haircut,2025-05-25
VS00401,C01437,Makeup,2025-06-29
VS00402,C07582,Hair Trimming,2025-04-26
VS00403,C00939,Haircut,2025-01-26
VS00404,C07874,Kids Haircut,2025-07-14
VS00405,C07868,Basic Grooming,2025-10-19
VS00406,C01947,Kids Haircut,2025-02-04
VS00407,C05753,Hair Trimming,2025-12-09
VS00408,C05854,Hair Styling,2025-05-02
VS00409,C07034,Hair Styling,2025-06-06
VS00410,C09727,Threading,2025-02-24
VS00411,C03122,Kids Haircut,2025-10-08
VS00412,C07579,Hair Trimming,2025-05-15
VS00413,C00004,Basic Grooming,2025-02-03
VS00414,C08445,Beard Grooming,2025-01-10
VS00415,C06840,Hair Straightening,2025-11-09
VS00416,C00827,Hair Trimming,2025-01-06
VS00417,C02911,Kids Haircut,2025-01-12
VS00418,C00876,Kids Haircut,2025-03-11
VS00419,C00256,Haircut,2025-12-27
VS00420,C02935,Haircut,2025-12-28
VS00421,C00336,Hair Trimming,2025-03-15
VS00422,C06716,Kids Haircut,2025-04-08
VS00423,C07192,Hair Trimming,2025-09-03
VS00424,C06014,Haircut,2025-03-19
VS00425,C01931,Basic Grooming,2025-02-02
VS00426,C02152,Basic Grooming,2025-07-15
VS00427,C09792,Beard Grooming,2025-07-07
VS00428,C05280,Shaving,2025-03-22
VS00429,C04137,Basic Grooming,2025-01-21
VS00430,C07215,Hair Straightening,2025-10-14
VS00431,C02207,Basic Grooming,2025-02-03
VS00432,C03829,Basic Grooming,2025-06-01
VS00433,C09004,Hair Styling,2025-10-26
VS00434,C01360,Hair Straightening,2025-05-07
VS00435,C05510,Hair Styling,2025-07-29
VS00436,C03676,Hair Styling,2025-07-16
VS00437,C00632,Kids Haircut,2025-09-29
VS00438,C01824,Basic Grooming,2025-07-05
VS00439,C04943,Makeup,2025-04-22
VS00440,C00867,Kids Haircut,2025-06-05
VS00441,C01267,Kids Haircut,2025-08-27
VS00442,C08894,Kids Haircut,2025-03-26
VS00443,C04406,Beard Grooming,2025-09-25
VS00444,C02639,Kids Haircut,2025-05-28
VS00445,C02350,Hair Styling,2025-06-11
VS00446,C06675,Haircut,2025-03-24
VS00447,C04122,Haircut,2025-03-28
VS00448,C06572,Basic Grooming,2025-04-29
VS00449,C04914,Haircut,2025-04-10
VS00450,C04801,Kids Haircut,2025-08-21
VS00451,C02416,Haircut,2025-01-25
VS00452,C03687,Hair Styling,2025-07-03
VS00453,C04740,Kids Haircut,2025-02-27
VS00454,C07660,Haircut,2025-10-26
VS00455,C01045,Shaving,2025-01-04
VS00456,C09296,Beard Grooming,2025-09-25
VS00457,C05009,Basic Grooming,2025-05-13
VS00458,C09721,Shaving,2025-07-05
VS00459,C09825,Hair Styling,2025-02-22
VS00460,C00267,Hair Straightening,2025-07-30
VS00461,C05297,Beard Grooming,2025-11-23
VS00462,C05906,Shaving,2025-05-27
VS00463,C08385,Kids Haircut,2025-03-21
VS00464,C08265,Hair Styling,2025-04-03
VS00465,C01780,Hair Trimming,2025-05-13
VS00466,C02733,Hair Trimming,2025-04-02
VS00467,C07885,Basic Grooming,2025-11-30
VS00468,C00415,Basic Grooming,2025-12-12
VS00469,C04718,Beard Grooming,2025-02-02
VS00470,C00721,Basic Grooming,2025-07-04
VS00471,C01232,Kids Haircut,2025-10-24
VS00472,C04275,Hair Trimming,2025-10-06
VS00473,C00500,Beard Grooming,2025-04-02
VS00474,C09743,Shaving,2025-07-25
VS00475,C02452,Haircut,2025-04-15
VS00476,C05552,Hair Styling,2025-09-01
VS00477,C08478,Makeup,2025-04-03
VS00478,C00238,Hair Trimming,2025-11-20
VS00479,C02854,Threading,2025-12-28
VS00480,C02985,Beard Grooming,2025-12-11
VS00481,C06970,Kids Haircut,2025-09-15
VS00482,C04196,Haircut,2025-01-09
VS00483,C05974,Kids Haircut,2025-08-12
VS00484,C09746,Beard Grooming,2025-02-01
VS00485,C06324,Beard Grooming,2025-03-09
VS00486,C06108,Basic Grooming,2025-05-20
VS00487,C06142,Hair Straightening,2025-01-28
VS00488,C04968,Beard Grooming,2025-12-24
VS00489,C06656,Basic Grooming,2025-08-26
VS00490,C07213,Shaving,2025-09-04
VS00491,C04061,Beard Grooming,2025-04-10
VS00492,C05119,Beard Grooming,2025-08-10
VS00493,C01793,Hair Trimming,2025-01-05
VS00494,C06556,Basic Grooming,2025-11-12
VS00495,C06436,Makeup,2025-10-29
VS00496,C04930,Beard Grooming,2025-05-19
VS00497,C09447,Shaving,2025-08-15
VS00498,C02084,Hair Trimming,2025-10-24
VS00499,C07466,Haircut,2025-04-22
VS00500,C00846,Basic Grooming,2025-05-28
VS00501,C07696,Hair Straightening,2025-03-17
VS00502,C04549,Haircut,2025-10-27
VS00503,C05872,Beard Grooming,2025-09-15
VS00504,C02141,Beard Grooming,2025-09-26
VS00505,C08151,Kids Haircut,2025-12-04
VS00506,C01226,Hair Styling,2025-07-12
VS00507,C01448,Basic Grooming,2025-11-30
VS00508,C08706,Hair Trimming,2025-09-23
VS00509,C01332,Kids Haircut,2025-11-13
VS00510,C05903,Beard Grooming,2025-01-22
VS00511,C05911,Threading,2025-03-11
VS00512,C06937,Kids Haircut,2025-05-30
VS00513,C02372,Basic Grooming,2025-02-13
VS00514,C02546,Kids Haircut,2026-01-01
VS00515,C03863,Hair Straightening,2025-05-16
VS00516,C00733,Hair Trimming,2025-07-29
VS00517,C07130,Haircut,2025-03-13
VS00518,C07128,Kids Haircut,2025-01-23
VS00519,C06132,Hair Trimming,2025-07-14
VS00520,C09596,Basic Grooming,2025-03-31
VS00521,C04228,Hair Straightening,2025-07-10
VS00522,C03156,Makeup,2025-11-13
VS00523,C06612,Haircut,2025-12-25
VS00524,C09732,Hair Trimming,2025-03-30
VS00525,C08169,Makeup,2025-12-30
VS00526,C05880,Beard Grooming,2025-03-13
VS00527,C01306,Threading,2025-12-05
VS00528,C08606,Makeup,2025-08-08
VS00529,C04846,Shaving,2025-03-05
VS00530,C01961,Beard Grooming,2025-09-09
VS00531,C00945,Hair Straightening,2025-09-18
VS00532,C05775,Beard Grooming,2025-08-09
VS00533,C03470,Threading,2025-07-19
VS00534,C00305,Hair Trimming,2025-11-09
VS00535,C02483,Shaving,2025-01-04
VS00536,C01540,Hair Styling,2025-03-23
VS00537,C06703,Haircut,2025-07-26
VS00538,C01565,Hair Trimming,2025-12-10
VS00539,C00532,Hair Styling,2026-01-01
VS00540,C00804,Hair Trimming,2025-11-12
VS00541,C05020,Basic Grooming,2025-06-09
VS00542,C06412,Basic Grooming,2025-02-02
VS00543,C06914,Shaving,2025-08-03
VS00544,C05430,Shaving,2025-12-12
VS00545,C00083,Hair Trimming,2025-11-05
VS00546,C05494,Shaving,2025-02-06
VS00547,C03020,Kids Haircut,2025-10-23
VS00548,C03356,Kids Haircut,2025-05-21
VS00549,C07666,Beard Grooming,2025-02-23
VS00550,C05945,Basic Grooming,2025-11-25
VS00551,C08691,Kids Haircut,2025-06-26
VS00552,C04995,Hair Trimming,2025-12-16
VS00553,C00540,Basic Grooming,2025-10-06
VS00554,C02215,Shaving,2025-04-07
VS00555,C04867,Beard Grooming,2025-03-04
VS00556,C01730,Beard Grooming,2025-04-13
VS00557,C05413,Kids Haircut,2025-02-25
VS00558,C06067,Makeup,2025-11-27
VS00559,C04071,Hair Trimming,2025-05-06
VS00560,C04227,Shaving,2025-01-26
VS00561,C09371,Hair Trimming,2025-03-08
VS00562,C09299,Makeup,2025-12-15
VS00563,C03884,Hair Styling,2025-12-29
VS00564,C05381,Basic Grooming,2025-11-27
VS00565,C03456,Hair Straightening,2025-07-17
VS00566,C04375,Kids Haircut,2025-12-22
VS00567,C08570,Kids Haircut,2025-08-23
VS00568,C07546,Beard Grooming,2025-12-04
VS00569,C04109,Haircut,2025-11-28
VS00570,C01006,Makeup,2025-10-24
VS00571,C07703,Makeup,2025-05-04
VS00572,C08434,Threading,2025-07-22
VS00573,C06679,Hair Trimming,2025-03-05
VS00574,C04674,Kids Haircut,2025-06-30
VS00575,C07948,Beard Grooming,2025-06-07
VS00576,C08163,Kids Haircut,2025-08-01
VS00577,C05321,Hair Styling,2025-04-23
VS00578,C06965,Beard Grooming,2025-02-20
VS00579,C00792,Haircut,2025-01-09
VS00580,C06827,Kids Haircut,2025-12-30
VS00581,C05763,Shaving,2025-03-11
VS00582,C00575,Makeup,2025-11-10
VS00583,C09544,Haircut,2025-11-02
VS00584,C02995,Makeup,2025-10-11
VS00585,C01271,Kids Haircut,2025-05-05
VS00586,C07076,Basic Grooming,2025-09-12
VS00587,C00998,Hair Styling,2025-06-11
VS00588,C03478,Kids Haircut,2025-01-31
VS00589,C00923,Makeup,2025-06-25
VS00590,C05533,Basic Grooming,2025-04-06
VS00591,C03682,Threading,2025-10-16
VS00592,C06877,Kids Haircut,2025-02-14
VS00593,C06747,Hair Styling,2025-04-17
VS00594,C04476,Shaving,2025-08-18
VS00595,C06043,Hair Trimming,2025-09-27
VS00596,C01517,Hair Trimming,2025-04-21
VS00597,C06984,Hair Trimming,2025-11-05
VS00598,C04208,Haircut,2025-02-17
VS00599,C00556,Shaving,2025-05-02
VS00600,C08398,Kids Haircut,2025-04-17
VS00601,C03338,Beard Grooming,2025-12-18
VS00602,C00968,Hair Styling,2025-12-01
VS00603,C01120,Hair Trimming,2025-09-27
VS00604,C04158,Hair Trimming,2025-04-19
VS00605,C03967,Kids Haircut,2025-06-15
VS00606,C05948,Haircut,2025-06-01
